pid,p_CE,p_crossed,cond,lkhd_Q,lkhd_S,lkhd_Q_4,lkhd_Q_6,lkhd_Q_8,lkhd_S_4,lkhd_S_6,lkhd_S_8,param_name,param_est_Q,param_est_S
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,alpha_time,694.218057027743,754.065932125447
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,start_time,736.6001557577764,396.2686931193894
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,beta_time,84.7651879547354,67.78227150305784
3wl3y14jkdghldvj11suas,0.77,0.0,CE,-613.0323746152073,-630.7468317246114,-68.0203698892679,-210.66629997978606,-334.34570474615344,-73.12042786203934,-216.41326008174653,-341.2131437808256,sigma_time,0.3988125093563166,0.4166228262128543
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,swap_noise,0.008,0.011
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_a_4,0.9524061593951427,0.8573730879791497
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_a_6,0.9755974108138776,0.9831279537797152
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_a_8,0.9805488969650225,0.9857098360990741
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_b_4,-0.6542710950361739,-1.0408265996898052
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_b_6,-3.706791581608006,-2.6344487510124
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_b_8,-3.5947777075119514,-3.1892096113489283
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_c_4,1.9217223985388299,1.6026969275509808
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_c_6,1.0758722675460237,1.970882569195897
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,strat_c_8,1.7285708034336063,2.1384836689416855
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,random_err,0.03303168784340261,0.023997428323392765
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,switch_cost,0.22,1.88
51xnjy5fog9uwe6feujnx,0.88,0.01,CE,-755.7353528786496,-778.7494239281548,-83.12110283173978,-244.9673211013776,-427.6469289455321,-90.6730066648455,-254.03905231377996,-434.0373649495293,alpha_time,525.6144345876063,602.9567071613193
